Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,house_age,total_bathrooms,total_area,quality_score
11,20,RL,70.0,11200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,5.0,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0,134.0,1040,GasA,Ex,Y,SBrkr,1040.0,0,0,1040.0,1.0,0,1,0,3.0,1,TA,5,Typ,0.0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500.0,43.0,2.0,2080.0,25.0
12,60,RL,85.0,11924.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2005,2006,Hip,CompShg,WdShing,Wd Shng,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0,177.0,1175,GasA,Ex,Y,SBrkr,1182.0,1142,0,2324.0,1.0,0,3,0,4.0,1,Ex,10,Typ,2.0,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000.0,1.0,4.0,3499.0,45.0
13,20,RL,69.0,12968.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1962,1962,Hip,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0,175.0,912,GasA,TA,Y,SBrkr,912.0,0,0,912.0,1.0,0,1,0,2.0,1,TA,4,Typ,0.0,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140,0,0,0,0,0,0,9,2008,WD,Normal,144000.0,46.0,2.0,1824.0,30.0
14,20,RL,91.0,10652.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2006,2007,Gable,CompShg,VinylSd,VinylSd,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1494.0,1494,GasA,Ex,Y,SBrkr,1494.0,0,0,1494.0,0.0,0,2,0,3.0,1,Gd,7,Typ,1.0,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500.0,1.0,2.0,2988.0,35.0
15,20,RL,69.0,10920.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1960,1960,Hip,CompShg,MetalSd,MetalSd,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0,520.0,1253,GasA,TA,Y,SBrkr,1253.0,0,0,1253.0,1.0,0,1,1,2.0,1,TA,5,Typ,1.0,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,170,0,0,0,0,0,5,2008,WD,Normal,157000.0,48.0,2.5,2506.0,30.0
16,45,RM,51.0,6120.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,7.5,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,832.0,832,GasA,Ex,Y,FuseA,854.0,0,0,854.0,0.0,0,1,0,2.0,1,TA,5,Typ,0.0,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000.0,78.0,1.0,1686.0,52.5
17,20,RL,69.0,11241.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0,426.0,1004,GasA,Ex,Y,SBrkr,1004.0,0,0,1004.0,1.0,0,1,0,2.0,1,TA,5,Typ,1.0,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,0,3,2010,WD,Normal,149000.0,40.0,2.0,2008.0,42.0
18,90,RL,72.0,10791.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.0,5.0,1967,1967,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,Slab,TA,TA,No,Unf,0.0,Unf,0,0.0,42,GasA,TA,Y,SBrkr,1296.0,0,0,1296.0,0.0,0,2,0,2.0,1,TA,6,Typ,0.0,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,0,0,0,10,2006,WD,Normal,90000.0,39.0,2.0,1338.0,20.0
19,20,RL,66.0,13695.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.0,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0,468.0,1114,GasA,Ex,Y,SBrkr,1114.0,0,0,1114.0,1.0,0,1,1,3.0,1,Gd,6,Typ,0.0,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000.0,4.0,2.5,2228.0,25.0
20,20,RL,70.0,7560.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0,525.0,1029,GasA,TA,Y,SBrkr,1339.0,0,0,1339.0,0.0,0,1,0,3.0,1,TA,6,Min1,0.0,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000.0,51.0,1.0,2368.0,30.0
21,60,RL,101.0,14215.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1158.0,1158,GasA,Ex,Y,SBrkr,1158.0,1218,0,2376.0,0.0,0,3,1,4.0,1,Gd,9,Typ,1.0,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300.0,1.0,3.5,3534.0,40.0
22,45,RM,57.0,7449.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.0,7.0,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0,637.0,637,GasA,Ex,Y,FuseF,1108.0,0,0,1108.0,0.0,0,1,0,3.0,1,Gd,6,Typ,1.0,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0,0,0,0,0,0,0,6,2007,WD,Normal,139400.0,77.0,1.0,1745.0,49.0
23,20,RL,75.0,9742.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1685.5,1777,GasA,Ex,Y,SBrkr,1795.0,0,0,1795.0,0.0,0,2,0,3.0,1,Gd,7,Typ,1.0,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000.0,6.0,2.0,3572.0,40.0
24,120,RM,44.0,4224.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,7.0,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0,200.0,1040,GasA,TA,Y,SBrkr,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,TA,6,Typ,1.0,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900.0,31.0,2.0,2100.0,35.0
25,20,RL,69.0,8246.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,7.5,1968,2001,Gable,CompShg,Plywood,Plywood,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,0,204.0,1060,GasA,Ex,Y,SBrkr,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,Gd,6,Typ,1.0,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000.0,42.0,2.0,2120.0,37.5
26,20,RL,107.5,14230.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007,2007,Gable,CompShg,VinylSd,VinylSd,410.625,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1566.0,1566,GasA,Ex,Y,SBrkr,1600.0,0,0,1600.0,0.0,0,2,0,3.0,1,Gd,7,Typ,1.0,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300.0,2.0,2.0,3166.0,40.0
27,20,RL,60.0,7200.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,0,180.0,900,GasA,TA,Y,SBrkr,900.0,0,0,900.0,0.0,0,1,0,3.0,1,Gd,5,Typ,0.0,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800.0,59.0,1.0,1800.0,35.0
28,20,RL,98.0,11478.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0,486.0,1704,GasA,Ex,Y,SBrkr,1704.0,0,0,1704.0,1.0,0,2,0,3.0,1,Gd,7,Typ,1.0,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000.0,3.0,3.0,3408.0,40.0
29,20,RL,47.0,16321.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0,207.0,1484,GasA,TA,Y,SBrkr,1600.0,0,0,1600.0,1.0,0,1,0,2.0,1,TA,6,Typ,2.0,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,288,170,0,0,0,0,0,12,2006,WD,Normal,207500.0,49.0,2.0,3084.0,30.0
30,30,RM,60.0,6324.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4.0,6.0,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,520.0,520,GasA,Fa,N,SBrkr,520.0,0,0,520.0,0.0,0,1,0,1.0,1,Fa,4,Typ,0.0,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,49,0,0,0,0,0,0,5,2008,WD,Normal,68500.0,81.0,1.0,1040.0,24.0
31,70,C (all),50.0,8500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4.0,4.0,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0,649.0,649,GasA,TA,N,SBrkr,649.0,668,0,1317.0,0.0,0,1,0,3.0,1,TA,6,Typ,0.0,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0,54,0,0,0,0,0,7,2008,WD,Normal,40000.0,88.0,1.0,1966.0,16.0
32,20,RL,69.0,8544.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,1228.0,1228,GasA,Gd,Y,SBrkr,1228.0,0,0,1228.0,0.0,0,1,1,3.0,1,Gd,6,Typ,0.0,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350.0,42.0,1.5,2456.0,30.0
33,20,RL,85.0,11049.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1234.0,1234,GasA,Ex,Y,SBrkr,1234.0,0,0,1234.0,0.0,0,2,0,3.0,1,Gd,7,Typ,0.0,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900.0,1.0,2.0,2468.0,40.0
34,20,RL,70.0,10552.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959,1959,Hip,CompShg,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0,380.0,1398,GasA,Gd,Y,SBrkr,1700.0,0,0,1700.0,0.0,0,1,1,4.0,1,Gd,6,Typ,1.0,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500.0,51.0,1.5,3098.0,25.0
35,120,RL,60.0,7313.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,5.0,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0,408.0,1561,GasA,Ex,Y,SBrkr,1561.0,0,0,1561.0,1.0,0,2,0,2.0,1,Ex,6,Typ,1.0,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500.0,2.0,3.0,3122.0,45.0
36,60,RL,107.5,13418.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2004,2005,Gable,CompShg,VinylSd,VinylSd,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1117.0,1117,GasA,Ex,Y,SBrkr,1132.0,1320,0,2452.0,0.0,0,3,1,4.0,1,Gd,9,Typ,1.0,BuiltIn,2004.0,Fin,3.0,691.0,TA,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000.0,2.0,3.5,3569.0,40.0
37,20,RL,107.5,10859.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,5.0,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1097.0,1097,GasA,Ex,Y,SBrkr,1097.0,0,0,1097.0,0.0,0,1,1,3.0,1,TA,6,Typ,0.0,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000.0,15.0,1.5,2194.0,25.0
38,20,RL,74.0,8532.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,410.625,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0,84.0,1297,GasA,Gd,Y,SBrkr,1297.0,0,0,1297.0,0.0,0,1,0,3.0,1,TA,5,Typ,1.0,Attchd,1954.0,Fin,2.0,498.0,TA,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000.0,55.0,1.0,2594.0,30.0
39,20,RL,68.0,7922.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0,326.0,1057,GasA,TA,Y,SBrkr,1057.0,0,0,1057.0,1.0,0,1,0,3.0,1,Gd,5,Typ,0.0,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000.0,57.0,2.0,2114.0,35.0
40,90,RL,65.0,6040.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4.0,5.0,1955,1955,Gable,CompShg,AsbShng,Plywood,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0,0.0,42,GasA,TA,N,FuseP,1152.0,0,0,1152.0,0.0,0,2,0,2.0,1,Fa,6,Typ,0.0,Attchd,1980.0,Unf,0.0,0.0,TA,TA,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000.0,53.0,2.0,1194.0,20.0
41,20,RL,84.0,8658.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0,445.0,1088,GasA,Ex,Y,SBrkr,1324.0,0,0,1324.0,0.0,0,2,0,3.0,1,TA,6,Typ,1.0,Attchd,1965.0,RFn,2.0,440.0,TA,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000.0,41.0,2.0,2412.0,30.0
42,20,RL,107.5,16905.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5.0,6.0,1959,1959,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967.0,Unf,0,383.0,1350,GasA,Gd,Y,SBrkr,1328.0,0,0,1328.0,0.0,0,1,1,2.0,1,TA,5,Typ,2.0,Attchd,1959.0,RFn,1.0,308.0,TA,TA,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000.0,48.0,1.5,2678.0,30.0
43,85,RL,69.0,9180.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5.0,7.0,1983,1983,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,0,0.0,840,GasA,Gd,Y,SBrkr,884.0,0,0,884.0,1.0,0,1,0,2.0,1,Gd,5,Typ,0.0,Attchd,1983.0,RFn,2.0,504.0,TA,Gd,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000.0,24.0,2.0,1724.0,35.0
44,20,RL,69.0,9200.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,6.0,1975,1980,Hip,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280.0,BLQ,0,167.0,938,GasA,TA,Y,SBrkr,938.0,0,0,938.0,1.0,0,1,0,3.0,1,TA,5,Typ,0.0,Detchd,1977.0,Unf,1.0,308.0,TA,TA,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250.0,33.0,2.0,1876.0,30.0
45,20,RL,70.0,7945.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179.0,BLQ,0,465.0,1150,GasA,Ex,Y,FuseA,1150.0,0,0,1150.0,1.0,0,1,0,3.0,1,TA,6,Typ,0.0,Attchd,1959.0,RFn,1.0,300.0,TA,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000.0,47.0,2.0,2300.0,30.0
